country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Brunei Darussalam,BRN,2001,21.3,37269.3099216587,,,89.8383865356445,
Bhutan,BTN,2001,44.0,1321.09878230279,,28.8491194019304,31.5314197540283,
Botswana,BWA,2001,30.2,4971.96371794188,28.1,59.6028572100646,76.1001892089844,
Central African Republic,CAF,2001,43.4,446.658634192083,35.9,8.39601747017328,7.64059019088745,
Canada,CAN,2001,,38200.456120621,2.5,99.0500999985296,,
Central Europe and the Baltics,CEB,2001,6.39691377309809,7730.94875575432,3.25968886543523,,93.6195373535156,
Switzerland,CHE,2001,,74439.4637644735,2.5,96.6999998823891,92.095100402832,
Channel Islands,CHI,2001,,,,,,
Chile,CHL,2001,2.7,8632.0148244056,2.9,91.9593722411946,,
China,CHN,2001,18.6,2405.89396743215,10.0,,60.5879211425781,
Cote d'Ivoire,CIV,2001,32.5,1636.57318705218,18.9,25.8569468295015,,
Cameroon,CMR,2001,37.6,1169.92670464984,24.2,,29.9767608642578,
"Congo, Dem. Rep.",COD,2001,46.1,322.033920024307,26.8,12.2129478574935,,
"Congo, Rep.",COG,2001,33.6,2056.16505922617,26.3,28.0573512239904,,
Colombia,COL,2001,17.1,4020.50789754842,8.6,68.0447217112947,,
Comoros,COM,2001,43.7,1188.50107049357,24.7,,,
Cabo Verde,CPV,2001,15.1,2051.21733888102,16.2,,66.4298477172852,
Costa Rica,CRI,2001,6.9,7854.2339580182,4.6,76.8805236759581,,
Caribbean small states,CSS,2001,11.7928190142826,10648.8703596983,8.72488803825527,,85.4113006591797,
Cuba,CUB,2001,7.3,4229.90309433356,2.5,,86.8774185180664,
Curacao,CUW,2001,,22171.0654932071,,,,
Cayman Islands,CYM,2001,,,,,82.9303970336914,
Cyprus,CYP,2001,,23019.25,5.9,96.3177123172715,93.900146484375,
Czechia,CZE,2001,2.7,12958.4667607533,2.5,94.6986852757351,96.0028305053711,
Germany,DEU,2001,1.1,35618.5143698493,2.5,99.8429012576049,98.947509765625,
Djibouti,DJI,2001,32.1,,40.8,,,
Dominica,DMA,2001,,6897.65674086518,3.7,,110.292030334473,
Denmark,DNK,2001,,49557.1509962227,2.5,94.6038614620039,133.292358398438,
Dominican Republic,DOM,2001,9.7,4158.98430282429,19.7,42.1929683858684,,
Algeria,DZA,2001,21.6,3610.00605631983,7.3,69.9885826295034,,
East Asia & Pacific (excluding high income),EAP,2001,26.1444859520673,2259.8145439145,13.1239134704895,,59.6201210021973,
Early-demographic dividend,EAR,2001,41.7680409493872,2144.69783734624,17.2528538800164,,47.482608795166,
